id|en|fixed_uk
4773| 8 the number of voting ballots that were recognised invalid|8 кількість виборчих бюлетенів визнаних недійсними
129| 2 ukrainian citizens shall have the right to freely campaign for or against candidates parties local party organisations as participants of the respective election process to freely and comprehensively discuss the election programmes of candidates parties local party organisations the political business and personal qualities of candidates candidates parties local party organisations as participants of the respective process may freely conduct preelection campaigning in compliance with the requirements of this code|2 громадяни україни мають право вільно агітувати за або проти кандидатів партій організацій партій  субєктів відповідного виборчого процесу вільно і всебічно обговорювати передвиборні програми кандидатів партій організацій партій політичні ділові та особисті якості кандидатів кандидати партії організації партій  субєкти відповідного процесу можуть вільно вести передвиборну агітацію з дотриманням вимог цього кодексу
3048| 9 the number of ballots for voting in the foreign constituency that have been declared invalid|9 кількість виборчих бюлетенів для голосування в закордонному окрузі визнаних недійсними
1950| 1 a regular election to the verkhovna rada of ukraine shall be held on the last sunday in october of the fifth year of the term of office of the verkhovna rada of ukraine|1 чергові вибори до верховної ради україни відбуваються в останню неділю жовтня пятого року повноважень верховної ради україни
3406| the right to nominate candidates for members of precinct election commissions may be exercised by|право подання кандидатур до складу дільничних виборчих комісій мають
1820|" article 126
 establishing the voting results within the foreign constituency"|стаття 126 встановлення підсумків голосування в межах закордонного округу
3486| 21 ensure the transfer of election and other documentation for storage to the appropriate state archival institution in the manner prescribed by the central election commission|21 забезпечує передачу на зберігання до відповідної архівної установи виборчої та іншої документації в порядку встановленому центральною виборчою комісією
1734| 8 precinct election commission members candidates for the president of ukraine their proxies and official observers who were present during the vote count at the election precinct shall be without delay issued copies of the statement provided for in this article at their request certified by the chairperson and the secretary of the precinct election commission and the seal of the commission in the quantity of no more than one copy of each statement per commission member candidate and official observer|8 членам дільничної виборчої комісії кандидатам на пост президента україни їх довіреним особам офіційним спостерігачам присутнім при підрахунку голосів виборців на виборчій дільниці на їх прохання невідкладно видаються копії передбаченого цією статтею протоколу засвідчені головою і секретарем дільничної виборчої комісії та скріплені печаткою комісії з розрахунку не більш як по одній копії кожного протоколу для кожного члена комісії кандидата та для кожного офіційного спостерігача
22| regular local elections shall be held simultaneously throughout ukraine except for restrictions established by law|чергові місцеві вибори проводяться одночасно на всій території україни за винятком обмежень встановлених законом
3481| 16 declare voting in an election precinct invalid based on the results of a recount of votes in the election precinct in the cases and the manner provided for by this code|16 визнає голосування на виборчій дільниці недійсним за результатами повторного підрахунку голосів виборців на виборчій дільниці у випадках та порядку передбачених цим кодексом
1844| paragraph 8 part 1 article 127 as revised by law no 805ix of 16 july 2020|абзац восьмий частини першої статті 127 в редакції закону  805ix від 16072020
4619| part 10 of article 251 as amended by law no 805ix of 16 july 2020|частина десята статті 251 із змінами внесеними згідно із законом  805ix від 16072020
3122| article 184 has been appended with part 7 under law no 805ix of 16 july 2020|статтю 184 доповнено частиною сьомою згідно із законом  805ix від 16072020
2091| 6 a nomination of candidates for precinct election commissions shall contain the information listed in part 5 of article 140 of this code the submission shall be accompanied by the photocopies of the passport of citizen of ukraine for traveling abroad diplomatic and service passports with the information on such persons peoples last name given name patronymic day month year of birth or the photocopies of the passport of citizen of ukraine photocopies of the first and second pages of the passport of a citizen of ukraine in the form of passport booklets or photocopies of the front and back sides of the passport of the citizen of ukraine in the form of a card in the countries to which the entry of citizens of ukraine is authorised with internal passport of the citizen of ukraine|6 у поданні кандидатур до складу дільничних виборчих комісій зазначаються відомості передбачені частиною пятою статті 140 цього кодексу до подання додаються ксерокопії сторінок паспорта громадянина україни для виїзду за кордон дипломатичного службового паспортів з відомостями про прізвище імя та по батькові число місяць рік народження таких осіб такої особи або ксерокопії паспорта громадянина україни ксерокопії першої та другої сторінок паспорта громадянина україни у вигляді паспортної книжечки або ксерокопії лицьового та зворотного боків паспорта громадянина україни у вигляді картки у державах до яких дозволений вїзд громадян україни за паспортом громадянина україни
1375| 1 decision of the party congress meeting conference made in accordance with its charter on the nomination of the candidate for the president of ukraine that indicates last name given name all names patronymic if any of the person nominated as the candidate for the president of ukraine certified by the signature of the party leader and sealed with the party stamp|1 рішення зїзду зборів конференції партії прийняте відповідно до її статуту про висування кандидата на пост президента україни в якому зазначаються прізвище імя усі власні імена по батькові за наявності особи висунутої кандидатом на пост президента україни засвідчене підписом керівника партії і скріплене печаткою партії
357| 8 only members of the central election commission employees of the secretariat of the central election commission and the office of the administrator of the state voter registry officials of the respective territorial and regional representative offices of the central election commission members of superior commissions candidates for the respective elections their proxies authorised persons of parties local party organisations participating in the respective election process official observers appointed by candidates parties local party organisations no more than one person from any one candidate or one party local party organisation official observers from nongovernmental organisations who have been authorised to have official observers in the respective election no more than two persons from any one nongovernmental organisation observers representing foreign nations and international organisations and mass media representatives not more than two persons from any one media outlet shall be allowed to attend the meetings of an election commission without invitation or permission including during the counting of votes and determination of the voting results and at the premises of an election precinct on the election day or on the repeat voting day|8 на засіданнях виборчої комісії у тому числі при підрахунку голосів та встановленні результатів голосування на виборчій дільниці в день виборів чи в день повторного голосування у приміщенні де проводиться голосування мають право бути присутніми без дозволу чи запрошення відповідної комісії лише члени центральної виборчої комісії працівники секретаріату центральної виборчої комісії та служби розпорядника державного реєстру виборців посадові особи відповідного територіального та регіонального представництва центральної виборчої комісії члени виборчих комісій вищого рівня кандидати на відповідних виборах їх довірені особи уповноважені особи партій організацій партій  субєктів відповідного виборчого процесу офіційні спостерігачі від кандидатів партій організацій партій не більше однієї особи від одного кандидата однієї партії організації партії офіційні спостерігачі від громадських організацій які отримали дозвіл мати офіційних спостерігачів на відповідних виборах не більше ніж двох осіб від однієї громадської організації а також офіційні спостерігачі від іноземних держав і міжнародних організацій представники засобів масової інформації не більше двох осіб від одного засобу масової інформації
950| 6 local executive authorities authorities of the autonomous republic of crimea and local authorities shall upon the termination of the powers of precinct and constituency election commissions be obliged to ensure the preservation of ballot boxes voting booths seals and stamps of these commissions and methodological literature that were issued to them for the duration of the election process as well as other assets required for the election process support|6 місцеві органи виконавчої влади органи влади автономної республіки крим та органи місцевого самоврядування після припинення повноважень виборчих комісій утворених на тимчасовій основі зобовязані забезпечити збереження виборчих скриньок кабін для голосування печаток штампів цих комісій методичної літератури що їм надавалися на період виборчого процесу інших матеріальних цінностей необхідних для забезпечення виборчого процесу
4668| part 1 of article 254 as amended by law no 805ix of 16 july 2020|частина перша статті 254 із змінами внесеними згідно із законом  805ix від 16072020
1698| 25 the election commission shall count the total number of the voting ballots excluding ballots that should not be counted  during the voting ballot count the commission member selected by the election commission shall be counting the voting ballots aloud all items other than voting ballots of the established form must be gathered separately and are not to be counted in case of doubt as to whether an item is a voting ballot the precinct election commission shall vote on it each election commission member may personally examine the item the counting of voting ballots shall be suspended while such items are being examined any items other than voting ballots shall be packed in a separate package such objects shall also include control sheets the package shall be marked with the inscription items and with an indication of the number of the territorial constituency or an indication that it comes from the foreign constituency the number of the election precinct the date and the time of packaging and it shall be signed by the members of the precinct election commission present and verified with the seal of the commission the total number of voters who participated in voting should be the number determined as the result of the counting the aforementioned number shall be announced and be entered in the statement on the vote count at the election precinct by the secretary of the commission|25 виборча комісія підраховує загальну кількість виборчих бюлетенів за винятком бюлетенів що не підлягають врахуванню при підрахунку виборчих бюлетенів визначений виборчою комісією член комісії рахує виборчі бюлетені вголос усі предмети що не є виборчими бюлетенями встановленої форми складаються окремо і не підраховуються у разі виникнення сумнівів чи є предмет виборчим бюлетенем дільнична виборча комісія вирішує це питання шляхом голосування при цьому кожен член виборчої комісії має право особисто оглянути предмет на час його огляду підрахунок виборчих бюлетенів припиняється предмети що не є виборчими бюлетенями запаковуються в окремий пакет до предметів відносять також контрольні листи на пакеті робиться напис предмети зазначаються номер територіального округу або позначення що він є закордонним номер виборчої дільниці дата час пакування ставляться підписи присутніх членів дільничної виборчої комісії та печатка комісії встановлена у підсумку підрахунку кількість є кількістю виборців які взяли участь у голосуванні зазначена кількість оголошується і заноситься секретарем комісії до протоколу про підрахунок голосів виборців на виборчій дільниці
2356| 7 the financial reports envisaged by parts 5 and 6 of this article shall always disclose data on last name given name patronymic and place of residence of an individual oblast raion locality no other information on an individual classified as information with limited access shall be made public|7 у фінансових звітах передбачених частинами пятою і шостою цієї статті обовязковому оприлюдненню підлягають прізвище імя по батькові та місце проживання фізичної особи область район населений пункт інші відомості про фізичну особу віднесені до інформації з обмеженим доступом оприлюдненню не підлягають
2518| 5 the central election commission shall ensure the production of five copies of information posters of the parties that are participants of the election process in each election region for each election precinct and for each constituency election commission|5 центральна виборча комісія забезпечує виготовлення для кожного виборчого регіону по пять примірників на кожну виборчу дільницю та для кожної окружної виборчої комісії інформаційних плакатів партій  субєктів виборчого процесу
2042| 1 a precinct election commission shall be established by the respective constituency election commission not later than fifteen days prior to the voting day and shall consist of the chairperson deputy chairperson secretary and other members of the commission|1 дільнична виборча комісія утворюється відповідною окружною виборчою комісією не пізніш як за пятнадцять днів до дня голосування у складі голови заступника голови секретаря та інших членів комісії
2775| 6 a voter is not entitled to hand hisher voting ballots over to other persons it is prohibited to receive voting ballots from other persons other than the election commission member assigned to hand voting ballots over as well as to encourage or force voters to hand voting ballots over to other persons by means of bribery threats or in any other manner|6 виборець не має права передавати свій виборчий бюлетень іншим особам отримання виборчих бюлетенів від інших осіб крім уповноваженого члена виборчої комісії який видає виборчі бюлетені заохочення або змушування виборців до передачі виборчого бюлетеня іншим особам шляхом підкупу погроз або в інший спосіб забороняється
284| 2 constituency election commissions|2 окружні виборчі комісії
4994| when a byelection is called the territorial election commission shall determine the number of mandates that will be distributed in such byelection in a multimember constituency a byelection in a multimember constituency may be held to elect one councillor|при призначенні виборів територіальна виборча комісія визначає кількість депутатських мандатів які будуть розподілятися на таких виборах в багатомандатному виборчому окрузі на проміжних виборах в багатомандатному виборчому окрузі може обиратися один депутат
1576| information on the number of voting ballots produced shall be entered into the statements of the precinct election commissions on the counting of votes at the election precincts and taken into account by the respective constituency election commission when compiling the statement on the voting results in the respective territorial constituency|відомості про кількість виготовлених виборчих бюлетенів вносяться до протоколів дільничної виборчої комісії про підрахунок голосів виборців на виборчій дільниці та враховуються відповідною окружною виборчою комісією при складанні протоколів про підсумки голосування у відповідному територіальному окрузі
2945| 11 in case of the precinct election commission using an automated information and analytical system the secretary of the commission or the person designated by the decision of the precinct election commission shall enter into the automated information and analytical system the information necessary for drawing up the statement on the vote count and provide for its checking by means of this system|11 у разі застосування автоматизованої інформаційноаналітичної системи дільничною виборчою комісією секретар комісії або відповідальна особа визначена рішенням дільничної виборчої комісії вносить до автоматизованої інформаційноаналітичної системи відомості необхідні для складання протоколу про підрахунок голосів виборців та забезпечує їх перевірку засобами цієї системи
385| article 36 has been appended with part 19 under law no 805ix of 16 july 2020|статтю 36 доповнено частиною девятнадцятою згідно із законом  805ix від 16072020
3127| 3 the central election commission shall include the regional electoral lists of candidates from each party in each election region with the order of candidates for mps established in accordance with part 2 of this article as well as the election marks in the statement on establishing the results of elections of mps|3 центральна виборча комісія вносить до протоколу про встановлення результатів виборів депутатів регіональні виборчі списки кандидатів від кожної партії у кожному виборчому регіоні з порядком кандидатів у депутати встановленим відповідно до частини другої цієї статті а також відмітки про обрання
2983| 9 in case any corrections errors or inaccuracies are revealed in the statement of the precinct election commission on the vote count at the election precinct that can be corrected without a vote recount the constituency election commission may make a decision specified in clause 2 of part 7 of this article if the content of such corrections errors or inaccuracies cannot be established without drawing up a statement marked corrected or consider amending the specified information in order to eliminate the identified inaccuracies without a vote recount|9 у разі виявлення у протоколі дільничної виборчої комісії про підрахунок голосів виборців на виборчій дільниці виправлень помилок неточностей що можна усунути без повторного підрахунку голосів виборців окружна виборча комісія приймає рішення зазначене у пункті 2 частини сьомої цієї статті якщо зміст таких виправлень помилок та неточностей неможливо зясувати без складання протоколу з позначкою уточнений або розглядає питання про внесення змін до зазначених відомостей з метою усунення виявлених недоліків без повторного підрахунку голосів
4953| 2 preparation and conduct of repeat voting vote count establishment of voting results and results of the respective local elections in the respective constituency shall be carried out in the manner prescribed by this code subject to the provisions of this article|2 підготовка та проведення повторного голосування підрахунок голосів встановлення підсумків голосування та результатів відповідних місцевих виборів у відповідному виборчому окрузі здійснюються у порядку визначеному цим кодексом з особливостями встановленими цією статтею
1560| an experimental ballot developed in accordance with paragraph 1 of this part should|експериментальний бюлетень розроблений відповідно до абзацу першого цієї частини повинен
896| 7 the election commission shall evaluate guided by the law the appropriateness and credibility of each piece of evidence as well as the sufficiency and linkages of the evidence as a system no evidence shall have a predetermined effect except circumstances or facts established by a final court decision|7 виборча комісія оцінює належність достовірність кожного доказу а також достатність і взаємний звязок доказів у їх сукупності керуючись законом ніякі докази не мають наперед встановленої сили за винятком обставин фактів встановлених судовим рішенням що набрало законної сили
1473| clause 5 part 2 article 110 as amended by law no 720ix of 17 june 2020|пункт 5 частини другої статті 110 із змінами внесеними згідно із законом  720ix від 17062020
4161| 1 be present at all meetings of the election commission during discussion of issues related to the respective elections and take part in their discussion with a right of advisory vote|1 бути присутнім на всіх засіданнях виборчої комісії під час обговорення питань повязаних із відповідними виборами та брати участь у їх обговоренні з правом дорадчого голосу
667| 2 the extent of the right of a participant of the election process to have official observers shall be determined by this code separately for each type of election|2 право субєкта виборчого процесу мати офіційних спостерігачів визначається цим кодексом для кожного типу виборів
1158| 4 the status of the constituency election commission as a legal entity shall be terminated in the manner and within the terms provided for in article 35 of this code|4 статус окружної виборчої комісії як юридичної особи припиняється в порядку та строки визначені статтею 35 цього кодексу
2163| 1 a precinct election commission shall|1 дільнична виборча комісія
2654| 9 the partys authorised representative in the respective territorial or nationwide constituency authorised party representative on the basis of a power of attorney shall have the right to recall an official observer from the party by applying in writing to the respective constituency election commission regarding an official observer in the foreign constituency  to the central election commission to terminate hisher powers and to submit documents for registration by the official observer of another person in the manner prescribed by this article|9 уповноважена особа партії у відповідному територіальному або загальнодержавному окрузі уповноважений на підставі довіреності представник партії має право відкликати офіційного спостерігача від партії звернувшись з письмовою заявою до відповідної окружної виборчої комісії щодо офіційного спостерігача у закордонному виборчому окрузі  до центральної виборчої комісії про припинення його повноважень і подати документи для реєстрації офіційним спостерігачем іншої особи в порядку встановленому цією статтею
4595| 5 the number of voters who received voting ballots at the voting premises|5 кількість виборців які отримали виборчі бюлетені у приміщенні для голосування
3926| 4 document on electoral deposit placement by the party organisation according to article 225 of this code|4 документа про внесення грошової застави відповідно до статті 225 цього кодексу
15| d elections of raion councillors|г вибори депутатів районної ради
512| 1 the state voter registry authority in the ministry of foreign affairs of ukraine shall compile provisional voter lists for every foreign election precinct according to the law of ukraine on the state voter registry the form for the provisional voter list shall be prescribed by the central election commission|1 орган ведення державного реєстру виборців у міністерстві закордонних справ україни складає попередні списки виборців для кожної закордонної виборчої дільниці відповідно до закону україни про державний реєстр виборців форма попереднього списку виборців встановлюється центральною виборчою комісією
2229| the aforementioned request or letter shall be considered within three days but not later than the last day before the voting day a decision replacing the chairperson deputy chairperson or the secretary of an election commission shall not necessarily result in termination of hisher powers as a member of the respective election commission|зазначене подання чи заява підлягають обовязковому розгляду у триденний строк але не пізніше останнього дня перед днем голосування рішення про заміну голови заступника голови або секретаря виборчої комісії не є підставою для припинення повноважень зазначених осіб як членів відповідної виборчої комісії
2172| 9 invalidate the voting results on the grounds specified by this code|9 визнає недійсним голосування на виборчій дільниці за наявності обставин передбачених цим кодексом
477| 3 exclusion of those persons who were wrongfully included in the voter list from the latter is done by means of crossing out their names which should be certified by the entry excluded and by the signatures of the chairperson and the secretary of the precinct election commission in the column notes in that case the date and number of the court decision or notice from the state voter registry authority shall be entered in the same column next to the voters last name|3 виключення зі списку виборців осіб які неправомірно включені до нього здійснюється шляхом викреслення що засвідчується записом виключено та підписами голови або заступника голови і секретаря дільничної виборчої комісії у графі примітки при цьому в зазначеній графі поруч із прізвищем виборця зазначаються дата і номер рішення суду або повідомлення органу ведення державного реєстру виборців
453| 1 on the day following the day of the receipt of the provisional voter list the precinct election commission of a regular election precinct shall display it for public examination on the premises of the precinct election commission|1 дільнична виборча комісія звичайної виборчої дільниці наступного дня після отримання попереднього списку виборців надає його для загального ознайомлення у приміщенні дільничної виборчої комісії
4317| 2 village or town election commission shall transfer voting ballots for the respective elections of village or town mayor raion councillors members of the verkhovna rada of the autonomous republic of crimea or respective oblast councillors in the respective constituency|2 сільська селищна виборча комісія передає виборчі бюлетені з відповідних виборів сільського селищного голови та депутатів сільської селищної ради депутатів районної ради депутатів верховної ради автономної республіки крим або відповідної обласної у відповідному виборчому окрузі
4390| article 247 has been appended with part 9 under law no 805ix of 16 july 2020|статтю 247 доповнено частиною девятою згідно із законом  805ix від 16072020
635| if no printed space rates have been published within the specified time the placement of campaign materials in such print mass media shall be prohibited|у разі неопублікування розцінок вартості друкованої площі в зазначені строки розміщення агітаційних матеріалів у відповідних друкованих засобах масової інформації забороняється
2900| the central election commission ensures the production of forms of statements of the precinct election commission on the vote count at the election precinct for each election precinct in the amount of 50 copies in the manner prescribed by part 17 of article 36 of this code|центральна виборча комісія забезпечує виготовлення бланків протоколів дільничної виборчої комісії про підрахунок голосів виборців на виборчій дільниці для кожної виборчої дільниці у кількості 50 примірників у порядку встановленому частиною сімнадцятою статті 36 цього кодексу
1147| clause 16 part 1 article 87 as amended by law no 805ix of 16 july 2020|пункт 16 частини першої статті 87 із змінами внесеними згідно із законом  805ix від 16072020
3291| clause 2 part 1 article 198 as amended by law no 805ix of 16 july 2020|пункт 2 частини першої статті 198 із змінами внесеними згідно із законом  805ix від 16072020
128| 1 elections in ukraine shall be free  ukrainian citizens shall be provided with conditions for free formation of their will and its free expression when voting|1 вибори в україні є вільними громадянам україни забезпечуються умови для вільного формування своєї волі та її вільного виявлення при голосуванні
1670| 2 the meeting of the precinct election commission shall begin without delay after the end of voting be carried out without breaks and end after the statement on the vote count at the election precinct has been drawn up and signed|2 засідання дільничної виборчої комісії починається відразу після закінчення голосування проводиться без перерви і закінчується після складення та підписання протоколу про підрахунок голосів виборців на виборчій дільниці
